sl,quote,by whom,tags
1,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles"
2,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love"
